,State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
180393,New York,New York,36,61,2012-06-30,67,Moderate,Ozone,36-061-0135,3
180394,New York,New York,36,61,2012-07-01,100,Moderate,Ozone,36-061-0135,3
180395,New York,New York,36,61,2012-07-02,57,Moderate,PM2.5,36-061-0134,4
180396,New York,New York,36,61,2012-07-03,55,Moderate,PM2.5,36-061-0128,3
180397,New York,New York,36,61,2012-07-04,63,Moderate,PM2.5,36-061-0134,3
180398,New York,New York,36,61,2012-07-05,64,Moderate,PM2.5,36-061-0134,4
180399,New York,New York,36,61,2012-07-06,112,Unhealthy for Sensitive Groups,Ozone,36-061-0135,3
180400,New York,New York,36,61,2012-07-07,67,Moderate,Ozone,36-061-0135,3
180401,New York,New York,36,61,2012-07-08,71,Moderate,Ozone,36-061-0135,4
180402,New York,New York,36,61,2012-07-09,49,Good,Ozone,36-061-0135,3
180403,New York,New York,36,61,2012-07-10,47,Good,Ozone,36-061-0135,3
180404,New York,New York,36,61,2012-07-11,56,Moderate,PM2.5,36-061-0128,4
180405,New York,New York,36,61,2012-07-12,44,Good,Ozone,36-061-0135,3
180406,New York,New York,36,61,2012-07-13,71,Moderate,Ozone,36-061-0135,3
180407,New York,New York,36,61,2012-07-14,84,Moderate,Ozone,36-061-0135,4
180408,New York,New York,36,61,2012-07-15,55,Moderate,PM2.5,36-061-0134,3
180409,New York,New York,36,61,2012-07-16,48,Good,PM2.5,36-061-0134,3
180410,New York,New York,36,61,2012-07-17,122,Unhealthy for Sensitive Groups,Ozone,36-061-0135,4
180411,New York,New York,36,61,2012-07-18,100,Moderate,Ozone,36-061-0135,3
180412,New York,New York,36,61,2012-07-19,49,Good,PM2.5,36-061-0134,3
180413,New York,New York,36,61,2012-07-20,53,Moderate,PM2.5,36-061-0128,4
180414,New York,New York,36,61,2012-07-21,32,Good,Ozone,36-061-0135,3
180415,New York,New York,36,61,2012-07-22,49,Good,Ozone,36-061-0135,3
180416,New York,New York,36,61,2012-07-23,69,Moderate,PM2.5,36-061-0079,4
180417,New York,New York,36,61,2012-07-24,60,Moderate,PM2.5,36-061-0128,3
180418,New York,New York,36,61,2012-07-25,32,Good,Ozone,36-061-0135,3
180419,New York,New York,36,61,2012-07-26,87,Moderate,Ozone,36-061-0135,4
180420,New York,New York,36,61,2012-07-27,43,Good,Ozone,36-061-0135,3
180421,New York,New York,36,61,2012-07-28,54,Moderate,PM2.5,36-061-0128,3
180422,New York,New York,36,61,2012-07-29,46,Good,PM2.5,36-061-0134,4
180423,New York,New York,36,61,2012-07-30,40,Good,Ozone,36-061-0135,3
180424,New York,New York,36,61,2012-07-31,34,Good,Ozone,36-061-0135,3
180425,New York,New York,36,61,2012-08-01,54,Moderate,PM2.5,36-061-0134,4
180426,New York,New York,36,61,2012-08-02,93,Moderate,Ozone,36-061-0135,3
180427,New York,New York,36,61,2012-08-03,93,Moderate,Ozone,36-061-0135,3
180428,New York,New York,36,61,2012-08-04,66,Moderate,PM2.5,36-061-0134,4
180429,New York,New York,36,61,2012-08-05,37,Good,PM2.5,36-061-0128,3
180430,New York,New York,36,61,2012-08-06,40,Good,Ozone,36-061-0135,3
180431,New York,New York,36,61,2012-08-07,51,Moderate,PM2.5,36-061-0134,4
180432,New York,New York,36,61,2012-08-08,87,Moderate,Ozone,36-061-0135,3
180433,New York,New York,36,61,2012-08-09,64,Moderate,Ozone,36-061-0135,3
180434,New York,New York,36,61,2012-08-10,54,Moderate,PM2.5,36-061-0134,4
180435,New York,New York,36,61,2012-08-11,48,Good,PM2.5,36-061-0128,3
180436,New York,New York,36,61,2012-08-12,45,Good,Ozone,36-061-0135,3
180437,New York,New York,36,61,2012-08-13,52,Moderate,PM2.5,36-061-0134,4
180438,New York,New York,36,61,2012-08-14,63,Moderate,PM2.5,36-061-0134,3
180439,New York,New York,36,61,2012-08-15,51,Moderate,PM2.5,36-061-0128,3
180440,New York,New York,36,61,2012-08-16,56,Moderate,PM2.5,36-061-0134,4
180441,New York,New York,36,61,2012-08-17,93,Moderate,Ozone,36-061-0135,3
180442,New York,New York,36,61,2012-08-18,36,Good,Ozone,36-061-0135,3
180443,New York,New York,36,61,2012-08-19,52,Moderate,PM2.5,36-061-0134,4
180444,New York,New York,36,61,2012-08-20,53,Moderate,PM2.5,36-061-0134,3
180445,New York,New York,36,61,2012-08-21,64,Moderate,Ozone,36-061-0135,3
180446,New York,New York,36,61,2012-08-22,84,Moderate,Ozone,36-061-0135,4
180447,New York,New York,36,61,2012-08-23,97,Moderate,Ozone,36-061-0135,3
180448,New York,New York,36,61,2012-08-24,93,Moderate,Ozone,36-061-0135,3
180449,New York,New York,36,61,2012-08-25,65,Moderate,PM2.5,36-061-0134,4
180450,New York,New York,36,61,2012-08-26,38,Good,Ozone,36-061-0135,3
180451,New York,New York,36,61,2012-08-27,31,Good,PM2.5,36-061-0134,3
180452,New York,New York,36,61,2012-08-28,57,Moderate,PM2.5,36-061-0079,4
180453,New York,New York,36,61,2012-08-29,37,Good,Ozone,36-061-0135,2
180454,New York,New York,36,61,2012-08-30,50,Good,Ozone,36-061-0135,3
180455,New York,New York,36,61,2012-08-31,119,Unhealthy for Sensitive Groups,Ozone,36-061-0135,4
180456,New York,New York,36,61,2012-09-01,74,Moderate,Ozone,36-061-0135,1
